date,log_price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,sqft_basement,house_age,isRenovated,city,statezip
2014-05-09,12.84,3,2,1340,1384,3,0,0,0,6,Not Renovated,Seattle,WA 98103
2014-05-09,13.59,4,3,3540,159430,2,0,0,0,7,Not Renovated,Carnation,WA 98014
2014-05-09,14.62,5,6,7270,130017,2,0,0,850,4,Not Renovated,Issaquah,WA 98029
2014-05-09,12.69,3,2,998,904,2,0,0,200,7,Not Renovated,Seattle,WA 98117
2014-05-10,13.22,5,2,3060,7015,1,0,0,1460,35,Not Renovated,Seattle,WA 98146
2014-05-10,12.68,3,2,2130,6969,2,0,0,0,11,Not Renovated,Maple Valley,WA 98038
2014-05-10,13.68,4,2,2520,6000,1,0,0,1120,93,Older Renovation,Seattle,WA 98103
2014-05-10,12.49,4,1,1940,9533,1,0,0,860,52,Older Renovation,Kent,WA 98031
2014-05-10,12.89,3,2,1350,1250,3,0,0,80,8,Not Renovated,Seattle,WA 98136
2014-05-11,13.64,4,2,2160,5298,2,0,0,0,112,Not Renovated,Seattle,WA 98122
2014-05-11,12.82,3,2,1370,1350,2,0,0,360,7,Not Renovated,Seattle,WA 98136
2014-05-12,14.02,4,4,5420,101930,1,0,0,1530,13,Not Renovated,Redmond,WA 98053
2014-05-12,13.69,4,2,2830,5000,2,0,0,0,19,Not Renovated,Seattle,WA 98105
2014-05-12,13.02,3,2,2010,2287,2,0,0,620,0,Not Renovated,Issaquah,WA 98029
2014-05-12,13.74,4,2,3300,12090,2,0,0,0,61,Not Renovated,Clyde Hill,WA 98004
2014-05-12,13.10,2,2,1230,1391,2,0,0,360,10,Older Renovation,Seattle,WA 98112
2014-05-12,12.74,3,1,1720,7119,1,0,0,0,62,Not Renovated,Shoreline,WA 98155
2014-05-12,12.37,1,1,810,2451,1,0,0,0,73,Not Renovated,Seattle,WA 98126
2014-05-12,14.00,3,1,1560,8078,1,1,4,0,86,Not Renovated,Mercer Island,WA 98040
2014-05-12,13.24,3,2,2560,216777,1,0,0,0,28,Not Renovated,Auburn,WA 98092
2014-05-12,13.71,4,3,4700,38412,2,0,0,1280,36,Not Renovated,Bellevue,WA 98005
2014-05-12,12.45,2,1,1220,2500,1,0,0,450,104,Older Renovation,Seattle,WA 98126
2014-05-12,14.27,5,2,3650,20150,1,0,0,1290,39,Not Renovated,Bellevue,WA 98004
2014-05-12,13.68,3,3,2170,12508,1,0,0,520,86,Older Renovation,Mercer Island,WA 98040
2014-05-12,13.20,4,2,2540,228254,1,0,0,1090,24,Recently Renovated,Duvall,WA 98019
2014-05-12,12.77,2,1,910,4500,1,0,0,0,108,Older Renovation,Seattle,WA 98118
2014-05-12,13.53,4,2,2980,4930,2,0,0,90,14,Not Renovated,Bellevue,WA 98006
2014-05-12,13.27,4,1,2120,4650,1,0,1,930,63,Older Renovation,Seattle,WA 98117
2014-05-12,14.09,4,3,3460,3997,2,0,0,900,10,Older Renovation,Seattle,WA 98103
2014-05-12,12.83,5,3,2480,10090,1,0,0,1180,10,Older Renovation,Seattle,WA 98178
2014-05-12,12.92,3,2,2200,16921,2,0,0,0,27,Older Renovation,Maple Valley,WA 98038
2014-05-12,12.79,4,2,1730,5500,1,0,0,720,71,Not Renovated,Seattle,WA 98106
2014-05-12,13.83,3,2,2920,34527,1,0,4,1120,60,Older Renovation,Seattle,WA 98116
2014-05-12,12.32,3,1,990,8012,1,0,0,0,48,Not Renovated,Renton,WA 98058
2014-05-12,13.38,4,2,3040,6887,2,0,0,0,15,Not Renovated,Sammamish,WA 98074
2014-05-12,13.76,5,3,4530,258746,1,0,0,1330,11,Not Renovated,Woodinville,WA 98077
2014-05-12,12.13,3,1,1370,8470,1,0,0,0,53,Older Renovation,Auburn,WA 98092
2014-05-12,12.72,3,2,1940,4927,2,0,0,0,10,Older Renovation,Renton,WA 98058
2014-05-12,12.25,3,2,1040,2643,2,0,0,320,10,Older Renovation,Seattle,WA 98118
2014-05-12,13.17,4,2,1800,8623,1,0,0,440,34,Not Renovated,Kirkland,WA 98033
2014-05-12,13.55,3,1,1720,5000,1,0,0,0,60,Recently Renovated,Seattle,WA 98122
2014-05-12,13.12,3,1,980,6380,1,0,0,220,73,Older Renovation,Seattle,WA 98115
2014-05-12,13.53,4,2,3110,6142,2,0,0,0,10,Older Renovation,Redmond,WA 98052
2014-05-12,12.71,5,3,2100,7715,1,0,0,850,1,Older Renovation,Burien,WA 98168
2014-05-12,13.05,3,1,2020,11358,1,0,0,830,58,Not Renovated,Kirkland,WA 98033
2014-05-12,13.65,4,1,2350,11914,1,0,0,0,53,Older Renovation,Mercer Island,WA 98040
2014-05-12,13.76,4,2,3290,12329,1,0,0,0,46,Not Renovated,Mercer Island,WA 98040
2014-05-12,12.62,5,2,2180,7813,2,0,0,0,28,Not Renovated,Maple Valley,WA 98038
2014-05-12,13.12,2,2,1290,1334,3,0,0,0,7,Not Renovated,Seattle,WA 98107
2014-05-12,12.21,3,1,1460,9750,1,0,0,0,45,Not Renovated,Kent,WA 98042
2014-05-12,12.49,2,1,1290,2828,2,0,0,0,6,Not Renovated,Redmond,WA 98053
2014-05-12,13.68,4,2,2350,3150,1,0,0,660,104,Not Renovated,Seattle,WA 98103
2014-05-12,12.73,3,1,1080,8100,1,0,0,0,59,Recently Renovated,Shoreline,WA 98155
2014-05-12,13.44,4,2,2670,13463,2,0,0,0,25,Not Renovated,Issaquah,WA 98029
2014-05-12,13.58,4,3,3680,5759,2,0,0,840,11,Not Renovated,Issaquah,WA 98027
2014-05-12,12.66,3,1,1440,8040,1,0,0,480,63,Older Renovation,Seattle,WA 98125
2014-05-12,13.13,4,1,1940,4800,1,0,0,910,92,Older Renovation,Seattle,WA 98122
2014-05-12,12.82,3,1,1280,9898,1,0,0,0,46,Older Renovation,Woodinville,WA 98072
2014-05-12,13.76,3,2,2980,27144,1,1,2,800,97,Not Renovated,Burien,WA 98166
2014-05-12,11.96,3,1,970,8580,1,0,0,0,55,Older Renovation,Federal Way,WA 98003
2014-05-12,13.32,4,3,2110,5000,1,0,2,470,84,Not Renovated,Seattle,WA 98136
2014-05-12,12.95,2,2,1480,1369,3,0,0,0,5,Not Renovated,Redmond,WA 98052
2014-05-12,12.17,2,1,700,10540,1,0,0,0,61,Not Renovated,Normandy Park,WA 98166
2014-05-12,13.72,3,2,2700,6120,1,0,0,1350,52,Not Renovated,Seattle,WA 98115
2014-05-12,14.08,4,3,2330,9687,2,0,3,0,96,Not Renovated,Seattle,WA 98112
2014-05-12,14.11,5,1,3380,20021,1,0,0,1690,51,Not Renovated,Clyde Hill,WA 98004
2014-05-12,13.64,4,2,2600,2750,1,0,0,980,78,Not Renovated,Seattle,WA 98109
2014-05-12,12.61,2,1,1360,8100,1,0,0,500,39,Not Renovated,Seattle,WA 98177
2014-05-12,13.13,4,2,2780,6369,1,0,0,1190,36,Not Renovated,Kirkland,WA 98034
2014-05-12,11.61,3,1,1250,53143,1,0,0,0,69,Not Renovated,Maple Valley,WA 98038
2014-05-12,13.52,3,2,2620,8950,2,0,0,0,22,Not Renovated,Bellevue,WA 98006
2014-05-12,12.26,3,1,1350,7620,1,0,0,0,73,Not Renovated,Burien,WA 98166
2014-05-12,13.42,4,3,2400,3340,1,0,0,1200,50,Not Renovated,Seattle,WA 98107
2014-05-12,13.51,4,2,2760,5000,1,0,0,1080,86,Older Renovation,Seattle,WA 98107
2014-05-12,14.02,4,2,3070,16028,1,0,3,1200,38,Not Renovated,Mercer Island,WA 98040
2014-05-12,13.33,2,1,2040,28593,1,1,3,0,95,Older Renovation,Vashon,WA 98070
2014-05-12,13.35,4,2,1770,6000,2,0,0,0,103,Older Renovation,Seattle,WA 98199
2014-05-12,14.05,4,3,3490,9170,2,0,0,0,2,Older Renovation,Bellevue,WA 98004
2014-05-12,12.62,2,1,830,1333,2,0,0,0,9,Not Renovated,Seattle,WA 98136
2014-05-12,12.82,2,2,980,895,2,0,0,310,5,Not Renovated,Seattle,WA 98116
2014-05-12,13.36,3,2,1570,1433,3,0,0,0,4,Not Renovated,Seattle,WA 98103
2014-05-12,13.85,4,3,3270,5187,2,0,0,160,0,Not Renovated,Redmond,WA 98052
2014-05-12,12.86,4,2,2160,6223,2,0,0,0,4,Not Renovated,Maple Valley,WA 98038
2014-05-12,13.86,4,3,3280,11000,2,0,0,960,6,Not Renovated,Kirkland,WA 98033
2014-05-13,13.03,4,2,3360,7685,2,0,0,0,13,Not Renovated,Renton,WA 98058
2014-05-13,13.62,5,2,3150,7119,2,0,0,0,1,Older Renovation,Redmond,WA 98052
2014-05-13,13.35,3,3,1810,1846,2,0,0,370,5,Not Renovated,Seattle,WA 98122
2014-05-13,13.39,4,2,2740,7140,2,0,0,0,21,Not Renovated,Sammamish,WA 98074
2014-05-13,13.08,5,4,3830,35000,1,0,0,1700,38,Not Renovated,Woodinville,WA 98077
2014-05-13,13.54,3,3,3190,5283,2,0,0,0,7,Not Renovated,Issaquah,WA 98029
2014-05-13,13.04,3,2,2350,10450,1,0,0,960,37,Older Renovation,Kenmore,WA 98028
2014-05-13,12.50,4,2,2510,8165,1,0,0,900,42,Not Renovated,Federal Way,WA 98023
2014-05-13,13.18,2,2,1680,4950,1,0,0,0,8,Not Renovated,Redmond,WA 98053
2014-05-13,13.02,3,2,1770,6610,1,0,0,810,60,Older Renovation,Shoreline,WA 98133
2014-05-13,12.57,3,1,1090,7315,1,0,0,0,33,Not Renovated,Renton,WA 98056
2014-05-13,12.83,5,2,3001,5710,2,0,0,0,8,Not Renovated,Kent,WA 98030
2014-05-13,13.17,5,3,2450,4591,2,0,0,0,20,Not Renovated,Seattle,WA 98117
2014-05-13,13.56,3,3,3610,59677,2,0,0,1170,11,Not Renovated,Issaquah,WA 98027
2014-05-13,13.22,4,2,2250,7500,1,0,0,1050,58,Not Renovated,Bellevue,WA 98005
2014-05-13,13.17,3,1,1240,7735,1,0,0,0,57,Older Renovation,Bellevue,WA 98008
2014-05-13,13.35,4,2,2260,6000,1,0,0,830,56,Older Renovation,Seattle,WA 98115
2014-05-13,13.27,4,1,2090,8164,1,0,0,1020,51,Not Renovated,Redmond,WA 98052
2014-05-13,12.41,5,1,2020,7902,1,0,0,800,52,Older Renovation,Seattle,WA 98168
2014-05-13,12.94,3,1,1960,5000,1,0,0,980,103,Older Renovation,Seattle,WA 98108
2014-05-13,14.45,5,2,3120,16672,2,0,0,0,45,Not Renovated,Yarrow Point,WA 98004
2014-05-13,12.32,3,1,1250,7500,1,0,0,0,47,Recently Renovated,Kent,WA 98030
2014-05-13,12.57,3,2,1490,9600,1,0,0,320,27,Not Renovated,Duvall,WA 98019
2014-05-13,13.59,6,3,2890,2370,2,0,0,600,108,Recently Renovated,Seattle,WA 98102
2014-05-13,12.39,3,1,1900,33888,1,0,0,0,72,Older Renovation,Auburn,WA 98001
2014-05-13,13.29,3,1,1680,2400,1,0,0,810,92,Older Renovation,Seattle,WA 98122
2014-05-13,13.46,3,2,2030,8398,2,0,0,0,39,Not Renovated,Bellevue,WA 98008
2014-05-13,13.07,4,2,3740,8700,1,0,0,1480,10,Older Renovation,Renton,WA 98058
2014-05-13,13.26,3,1,1580,11750,1,0,0,400,63,Older Renovation,Seattle,WA 98118
2014-05-13,13.56,3,2,1780,6120,1,0,0,390,87,Not Renovated,Seattle,WA 98122
2014-05-13,11.95,2,1,910,6232,1,0,0,0,71,Older Renovation,Seattle,WA 98118
2014-05-13,13.22,7,4,3440,8100,2,0,0,0,44,Recently Renovated,Seattle,WA 98103
2014-05-13,13.38,3,2,1740,13750,2,0,0,0,39,Not Renovated,Bellevue,WA 98008
2014-05-13,13.05,5,2,3400,8970,1,0,0,1700,55,Not Renovated,Shoreline,WA 98133
